Reach,Site,Side,Site_Side,RM,X,Y,Comments,Lat,Lon
1A,12,L,12L,-14.31,251477.696,656430.6444,TSM,36.9177742,-111.4888638
1A,13,L,13L,-14.17,251246.1388,656356.8099,2 Passes,36.91711807,-111.4914663
1A,14,L,14L,-14.02,251002.5134,656344.7,2 Passes,36.91701889,-111.4942011
1A,15,L,15L,-13.87,250755.7823,656316.598,2 Passes,36.91677475,-111.4969716
1A,16,L,16L,-13.68,250525.0949,656239.3377,2 Passes,36.9160881,-111.4995644
1A,17,L,17L,-13.5,250480.3137,656021.172,2 Passes,36.91412354,-111.5000777
1A,18,L,18L,-13.36,250494.9472,655795.1319,2 Passes,36.91208649,-111.4999246
1A,19,L,19L,-13.19,250557.7404,655562.7011,2 Passes,36.9099884,-111.4992313
1A,20,L,20L,-13.09,250571.9889,655371.958,2 Passes,36.90826797,-111.4990808
1A,21,L,21L,-12.95,250561.2099,655133.013,2 Passes,36.90611649,-111.4992135
1A,22,L,22L,-12.81,250490.4783,654910.5754,2 Passes,36.90411377,-111.5000181
1A,23,L,23L,-12.68,250416.4202,654706.0715,2 Passes,36.90227509,-111.5008591
1A,24,L,24L,-12.55,250217.1795,654568.8438,2 Passes,36.90104675,-111.5031014
1B,44,L,44L,-10.12,248105.1799,652814.3816,TSM,36.88531494,-111.5268802
1B,45,L,45L,-9.96,248347.6131,652862.0181,2 Passes,36.88573456,-111.5241583
1B,46,L,46L,-9.81,248588.8516,652882.2347,2 Passes,36.88591003,-111.521451
1B,47,L,47L,-9.68,248814.1673,652833.0053,2 Passes,36.88545609,-111.5189255
1B,48,L,48L,-9.504545455,249073.133,652674.6125,2 Passes,36.88449097,-111.5164419
1B,49,L,49L,-9.41,249172.1512,652535.2849,2 Passes,36.88275909,-111.5149235
1B,50,L,50L,-9.27,249309.6204,652341.5431,2 Passes,36.88100815,-111.5133906
1B,51,L,51L,-9.15,249256.977,652108.771,2 Passes,36.87891388,-111.5139921
1B,52,L,52L,-9.02,249079.3479,651949.1618,2 Passes,36.87748337,-111.5159922
1B,53,L,53L,-8.88,248893.0469,651833.4556,2 Passes,36.87644577,-111.5180874
1B,54,L,54L,-8.75,248656.1197,651812.0646,2 Passes,36.87626266,-111.5207461
1B,55,L,55L,-8.61,248422.1837,651867.0963,2 Passes,36.8767662,-111.5233677
1B,56,L,56L,-8.47,248187.6063,651926.0878,2 Passes,36.87730789,-111.5259963
1C,83,L,83L,-4.46,246007.4876,649562.2834,TSM,36.85608292,-111.5505531
1C,84,L,84L,-4.3,246187.8141,649401.299,2 Passes,36.8546257,-111.5485379
1C,85,L,85L,-4.15,246375.2235,649245.0669,2 Passes,36.85321045,-111.546443
1C,86,L,86L,-4.02,246520.2107,649063.0284,2 Passes,36.85156631,-111.5448251
1C,87,L,87L,-3.88,246673.5361,648878.1749,2 Passes,36.84989548,-111.5431139
1C,88,L,88L,-3.75,246717.2334,648637.1676,2 Passes,36.8477211,-111.5426345
1C,89,L,89L,-3.62,246659.938,648406.0726,2 Passes,36.84564209,-111.543287
1C,90,L,90L,-3.49,246491.1166,648229.6592,2 Passes,36.84405518,-111.5451877
1C,91,L,91L,-3.34,246275.8575,648112.8429,2 Passes,36.84301376,-111.5476063
1C,92,L,92L,-3.2,246045.7038,648024.8568,2 Passes,36.84222794,-111.5501907
1C,93,L,93L,-3.07,245817.0315,648032.4085,2 Passes,36.84230423,-111.5527543
1C,94,L,94L,-2.93,245570.3881,648067.885,2 Passes,36.84263229,-111.5555182
1C,95,L,95L,-2.78,245369.7172,648206.1003,2 Passes,36.84388351,-111.5577624
1A,592,R,592R,-14.44,251575.9967,656636.8761,TSM,36.91962814,-111.4877501
1A,593,R,593R,-14.27,251376.6541,656502.1239,2 Passes,36.9184227,-111.4899942
1A,594,R,594R,-14.11,251136.1498,656454.9315,2 Passes,36.9180069,-111.4926958
1A,595,R,595R,-13.95,250887.124,656466.14,2 Passes,36.91811752,-111.4954902
1A,596,R,596R,-13.81,250644.4536,656437.1339,2 Passes,36.91786575,-111.4982151
1A,597,R,597R,-13.69,250440.7327,656324.3077,2 Passes,36.91685486,-111.5005071
1A,598,R,598R,-13.56,250342.6498,656117.2466,2 Passes,36.91499329,-111.501618
1A,599,R,599R,-13.42,250358.2395,655872.311,2 Passes,36.91278839,-111.501455
1A,600,R,600R,-13.27,250375.7418,655640.2513,2 Passes,36.91069412,-111.5012699
1A,601,R,601R,-13.15,250461.5421,655447.1029,2 Passes,36.90895081,-111.5003165
1A,602,R,602R,-12.99,250485.4481,655209.1453,2 Passes,36.90680695,-111.5000599
1A,603,R,603R,-12.83,250384.1252,654992.6102,2 Passes,36.90485764,-111.5012075
1A,604,R,604R,-12.67,250319.314,654770.9908,2 Passes,36.90286255,-111.5019456
1B,621,R,621R,-10.3,247824.6462,652890.3317,TSM,36.88600922,-111.5300239
1B,622,R,622R,-10.17,248004.2946,652742.0351,2 Passes,36.88466644,-111.5280153
1B,623,R,623R,-10.04,248231.6623,652646.759,2 Passes,36.88380051,-111.525469
1B,624,R,624R,-9.89,248468.975,652612.6513,2 Passes,36.88348389,-111.5228083
1B,625,R,625R,-9.69,248713.9539,652596.1315,2 Passes,36.88332748,-111.5200608
1B,626,R,626R,-9.53,248954.9758,652577.7864,2 Passes,36.88315201,-111.5173579
1B,627,R,627R,-9.37,249141.1698,652418.8616,2 Passes,36.88171387,-111.5152766
1B,628,R,628R,-9.17,249192.7988,652189.3753,2 Passes,36.87964249,-111.5147083
1B,629,R,629R,-8.99,248999.5885,652044.5468,2 Passes,36.87834549,-111.5168824
1B,630,R,630R,-8.84,248769.8502,651954.6701,2 Passes,36.8775444,-111.5194637
1B,631,R,631R,-8.67,248547.8115,651930.2309,2 Passes,36.87733078,-111.5219555
1B,632,R,632R,-8.52,248323.3128,652021.9495,2 Passes,36.8781662,-111.5244696
1B,633,R,633R,-8.37,248101.1643,652131.7903,2 Passes,36.87916565,-111.5269565
1C,660,R,660R,-4.45,245910.3846,649456.8892,TSM,36.85513687,-111.5516466
1C,661,R,661R,-4.31,246082.1702,649279.9898,2 Passes,36.85353851,-111.5497278
1C,662,R,662R,-4.15,246234.5197,649084.5612,2 Passes,36.85176849,-111.5480278
